dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.0,-13.86616,-0.001,-0.2,-20.0,-2000.0,-0.0
0.010000,-0.00366,-13.86616,-0.00466,-0.366,-16.6,340.0,-0.0
0.010000,-0.01166,-13.86616,-0.01266,-0.8,-43.4,-2680.0,-0.0
0.010000,-0.02366,-13.86616,-0.02466,-1.2,-40.0,340.0,-0.0
0.010000,-0.03966,-13.86616,-0.04066,-1.6,-40.0,0.0,-0.0
0.010000,-0.05966,-13.86616,-0.06066,-2.0,-40.0,0.0,-0.0
0.010000,-0.08366,-13.86616,-0.08466,-2.4,-40.0,-0.0,-0.0
0.010000,-0.11166,-13.86616,-0.11266,-2.8,-40.0,0.0,-0.0
0.010000,-0.14366,-13.86616,-0.14466,-3.2,-40.0,-0.0,-0.0
0.010000,-0.17966,-13.86616,-0.18066,-3.6,-40.0,0.0,-0.0
0.010000,-0.21966,-13.86616,-0.22066,-4.0,-40.0,-0.0,-0.0
0.010000,-0.26366,-13.86616,-0.26466,-4.4,-40.0,-0.0,-0.0
0.010000,-0.31166,-13.86616,-0.31266,-4.8,-40.0,0.0,-0.0
0.010000,-0.36366,-13.86616,-0.36466,-5.2,-40.0,-0.0,-0.0
0.010000,-0.41966,-13.86616,-0.42066,-5.6,-40.0,0.0,-0.0
0.010000,-0.47966,-13.86616,-0.48066,-6.0,-40.0,-0.0,-0.0
0.010000,-0.54366,-13.86616,-0.54466,-6.4,-40.0,-0.0,-0.0
0.010000,-0.61166,-13.86616,-0.61266,-6.8,-40.0,-0.0,-0.0
0.010000,-0.68366,-13.86616,-0.68466,-7.2,-40.0,0.0,-0.0
0.010000,-0.75966,-13.86616,-0.76066,-7.6,-40.0,-0.0,-0.0
0.010000,-0.83966,-13.86616,-0.84066,-8.0,-40.0,-0.0,-0.0
0.010000,-0.92366,-13.86616,-0.92466,-8.4,-40.0,0.0,-0.0
0.010000,-1.01166,-13.86616,-1.01266,-8.8,-40.0,-0.0,-0.0
0.010000,-1.10366,-13.86616,-1.10466,-9.2,-40.0,0.0,-0.0
0.010000,-1.19966,-13.86616,-1.20066,-9.6,-40.0,0.0,-0.0
0.010000,-1.29966,-13.86616,-1.30066,-10.0,-40.0,-0.0,-0.0
0.010000,-1.40366,-13.86616,-1.40466,-10.4,-40.0,0.0,-0.0
0.010000,-1.51166,-13.86616,-1.51266,-10.8,-40.0,-0.0,-0.0
0.010000,-1.62366,-13.86616,-1.62466,-11.2,-40.0,0.0,-0.0
0.010000,-1.73966,-13.86616,-1.74066,-11.6,-40.0,0.0,-0.0
0.010000,-1.85966,-13.86616,-1.86066,-12.0,-40.0,-0.0,-0.0
0.010000,-1.98366,-13.86616,-1.98466,-12.4,-40.0,-0.0,-0.0
0.010000,-2.11166,-13.86616,-2.11266,-12.8,-40.0,0.0,-0.0
0.010000,-2.24366,-13.86616,-2.24466,-13.2,-40.0,-0.0,-0.0
0.010000,-2.37966,-13.86616,-2.38066,-13.6,-40.0,0.0,-0.0
0.010000,-2.51966,-13.86616,-2.52066,-14.0,-40.0,-0.0,-0.0
0.010000,-2.66366,-13.86616,-2.66466,-14.4,-40.0,-0.0,-0.0
0.010000,-2.81166,-13.86616,-2.81266,-14.8,-40.0,-0.0,-0.0
0.010000,-2.96366,-13.86616,-2.96466,-15.2,-40.0,0.0,-0.0
0.010000,-3.11966,-13.86616,-3.12066,-15.6,-40.0,-0.0,-0.0
