dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,8.6e-05,13.86616,-0.001,-0.2,-20.0,-2000.0,-6.283179
0.010000,-0.004345,13.86616,-0.005431,-0.443061,-24.306065,-430.606524,-5.4e-05
0.010000,-0.014023,13.866159,-0.015109,-0.967792,-52.47316,-2816.709496,-0.000175
0.010000,-0.02854,13.866155,-0.029626,-1.4517,-48.390802,408.235791,-0.000357
0.010000,-0.047896,13.866146,-0.048982,-1.935622,-48.392201,-0.139879,-0.000599
0.010000,-0.072092,13.866128,-0.073177,-2.419563,-48.394096,-0.189492,-0.000901
0.010000,-0.101127,13.866097,-0.102213,-2.903527,-48.3964,-0.230362,-0.001265
0.010000,-0.135002,13.866047,-0.136088,-3.387519,-48.399173,-0.277313,-0.001688
0.010000,-0.173717,13.865972,-0.174803,-3.871543,-48.402366,-0.319365,-0.002173
0.010000,-0.217273,13.865865,-0.218359,-4.355603,-48.406028,-0.366164,-0.002718
0.010000,-0.26567,13.865719,-0.266756,-4.839703,-48.409982,-0.39539,-0.003323
0.010000,-0.318908,13.865524,-0.319995,-5.323847,-48.414448,-0.446615,-0.003989
0.010000,-0.376988,13.865272,-0.378075,-5.808039,-48.419172,-0.472389,-0.004716
0.010000,-0.43991,13.86495,-0.440998,-6.292282,-48.424288,-0.511558,-0.005504
0.010000,-0.507675,13.864548,-0.508764,-6.776579,-48.42971,-0.542239,-0.006353
0.010000,-0.580282,13.864054,-0.581373,-7.260933,-48.435413,-0.570329,-0.007262
0.010000,-0.657734,13.863454,-0.658827,-7.745347,-48.441422,-0.600917,-0.008232
0.010000,-0.740029,13.862734,-0.741125,-8.229823,-48.447574,-0.615203,-0.009263
0.010000,-0.827168,13.861879,-0.828268,-8.714363,-48.454019,-0.64444,-0.010356
0.010000,-0.919152,13.860874,-0.920258,-9.198969,-48.460544,-0.652515,-0.011509
0.010000,-1.015982,13.8597,-1.017095,-9.683641,-48.467238,-0.669381,-0.012723
0.010000,-1.117656,13.858342,-1.118778,-10.168381,-48.474008,-0.677008,-0.013998
0.010000,-1.224177,13.85678,-1.22531,-10.653189,-48.480813,-0.680465,-0.015335
0.010000,-1.335543,13.854994,-1.336691,-11.138065,-48.487608,-0.679515,-0.016732
0.010000,-1.451755,13.852964,-1.452921,-11.623009,-48.494353,-0.674492,-0.018191
0.010000,-1.572814,13.85067,-1.574001,-12.108019,-48.501038,-0.668582,-0.019712
0.010000,-1.698718,13.848088,-1.699932,-12.593094,-48.507475,-0.643635,-0.021293
0.010000,-1.829469,13.845196,-1.830714,-13.078232,-48.513822,-0.634692,-0.022936
0.010000,-1.965065,13.84197,-1.966349,-13.56343,-48.519797,-0.597576,-0.024641
0.010000,-2.105506,13.838385,-2.106836,-14.048685,-48.525498,-0.570036,-0.026407
0.010000,-2.250791,13.834414,-2.252176,-14.533993,-48.53081,-0.531225,-0.028234
0.010000,-2.400921,13.830033,-2.402369,-15.01935,-48.535676,-0.486568,-0.030123
0.010000,-2.555894,13.825212,-2.557417,-15.50475,-48.539988,-0.431276,-0.032074
0.010000,-2.715708,13.819923,-2.717318,-15.990187,-48.543727,-0.373865,-0.034086
0.010000,-2.880363,13.814138,-2.882075,-16.475655,-48.5468,-0.307296,-0.03616
0.010000,-3.049857,13.807825,-3.051686,-16.961147,-48.549144,-0.234381,-0.038295
0.010000,-3.224188,13.800954,-3.226153,-17.446653,-48.550643,-0.149882,-0.040493
0.010000,-3.403354,13.793492,-3.405475,-17.932166,-48.55125,-0.060692,-0.042751
0.010000,-3.587354,13.785407,-3.589651,-18.417674,-48.550871,0.03785,-0.045072
