dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-8.6e-05,-13.86616,-0.001,-0.2,-20.0,-2000.0,-6.283179
0.010000,-0.002838,-13.866161,-0.003753,-0.275273,-7.527299,1247.270099,-5.4e-05
0.010000,-0.00916,-13.866161,-0.010075,-0.632208,-35.693467,-2816.61677,-0.000175
0.010000,-0.018643,-13.866164,-0.019558,-0.9483,-31.609207,408.425946,-0.000357
0.010000,-0.031287,-13.86617,-0.032202,-1.264378,-31.607787,0.142028,-0.000599
0.010000,-0.047092,-13.866182,-0.048006,-1.580437,-31.605928,0.185887,-0.000901
0.010000,-0.066056,-13.866202,-0.066971,-1.896473,-31.603587,0.23414,-0.001265
0.010000,-0.088181,-13.866235,-0.089095,-2.212481,-31.600819,0.276772,-0.001688
0.010000,-0.113466,-13.866284,-0.11438,-2.528457,-31.597613,0.320622,-0.002173
0.010000,-0.141909,-13.866353,-0.142824,-2.844397,-31.594022,0.359054,-0.002718
0.010000,-0.173512,-13.866449,-0.174427,-3.160297,-31.589959,0.406305,-0.003323
0.010000,-0.208274,-13.866576,-0.209189,-3.476153,-31.585597,0.436192,-0.003989
0.010000,-0.246193,-13.866741,-0.247108,-3.791961,-31.580804,0.479356,-0.004716
0.010000,-0.28727,-13.866951,-0.288185,-4.107718,-31.575703,0.510082,-0.005504
0.010000,-0.331503,-13.867213,-0.33242,-4.423421,-31.57028,0.542308,-0.006353
0.010000,-0.378893,-13.867536,-0.37981,-4.739066,-31.564562,0.571826,-0.007262
0.010000,-0.429438,-13.867927,-0.430357,-5.054652,-31.558612,0.594955,-0.008232
0.010000,-0.483137,-13.868397,-0.484058,-5.370176,-31.552376,0.6236,-0.009263
0.010000,-0.539991,-13.868955,-0.540915,-5.685636,-31.546006,0.636994,-0.010356
0.010000,-0.599998,-13.869611,-0.600925,-6.00103,-31.539423,0.658329,-0.011509
0.010000,-0.663157,-13.870376,-0.664089,-6.316358,-31.532746,0.667679,-0.012723
0.010000,-0.729467,-13.871262,-0.730405,-6.631618,-31.525982,0.676425,-0.013998
0.010000,-0.798927,-13.872281,-0.799873,-6.94681,-31.519173,0.680868,-0.015335
0.010000,-0.871537,-13.873445,-0.872492,-7.261933,-31.512365,0.680766,-0.016732
0.010000,-0.947296,-13.874768,-0.948262,-7.576989,-31.50561,0.6755,-0.018191
0.010000,-1.026201,-13.876264,-1.027182,-7.891979,-31.498985,0.662587,-0.019712
0.010000,-1.108253,-13.877946,-1.109251,-8.206904,-31.49245,0.653445,-0.021293
0.010000,-1.19345,-13.879831,-1.194469,-8.521766,-31.486202,0.624818,-0.022936
0.010000,-1.281791,-13.881932,-1.282834,-8.836567,-31.480151,0.605075,-0.024641
0.010000,-1.373274,-13.884268,-1.374347,-9.151312,-31.474459,0.569187,-0.026407
0.010000,-1.467899,-13.886854,-1.469008,-9.466003,-31.469156,0.53031,-0.028234
0.010000,-1.565663,-13.889707,-1.566814,-9.780646,-31.464311,0.48447,-0.030123
0.010000,-1.666567,-13.892846,-1.667766,-10.095246,-31.459968,0.434348,-0.032074
0.010000,-1.770608,-13.896289,-1.771865,-10.409808,-31.456228,0.373953,-0.034086
0.010000,-1.877786,-13.900055,-1.879108,-10.72434,-31.453154,0.307425,-0.03616
0.010000,-1.988098,-13.904163,-1.989496,-11.038848,-31.450829,0.232483,-0.038295
0.010000,-2.101543,-13.908635,-2.10303,-11.353341,-31.449309,0.152088,-0.040493
0.010000,-2.21812,-13.91349,-2.219708,-11.667828,-31.448695,0.061302,-0.042751
0.010000,-2.337828,-13.91875,-2.339531,-11.982319,-31.449068,-0.03729,-0.045072
0.010000,-2.460664,-13.924437,-2.4625,-12.296824,-31.450514,-0.144584,-0.047454
0.010000,-2.586629,-13.930573,-2.588613,-12.611355,-31.453131,-0.261645,-0.049898
0.010000,-2.715719,-13.937182,-2.717872,-12.925925,-31.456996,-0.386549,-0.052403
0.010000,-2.847934,-13.944287,-2.850278,-13.240547,-31.462198,-0.520232,-0.05497
0.010000,-2.983271,-13.951912,-2.98583,-13.555236,-31.468859,-0.666018,-0.057599
0.010000,-3.12173,-13.960083,-3.12453,-13.870007,-31.477066,-0.820771,-0.060289
0.010000,-3.26331,-13.968824,-3.266379,-14.184876,-31.486929,-0.986281,-0.06304
0.010000,-3.408007,-13.978163,-3.411378,-14.499861,-31.498541,-1.161174,-0.065853
0.010000,-3.555822,-13.988124,-3.559527,-14.814981,-31.512009,-1.346802,-0.068727
0.010000,-3.706752,-13.998736,-3.71083,-15.130256,-31.527456,-1.544703,-0.071662
0.010000,-3.860796,-14.010026,-3.865287,-15.445706,-31.544987,-1.753101,-0.074658
0.010000,-4.017952,-14.022022,-4.022901,-15.761353,-31.564716,-1.97289,-0.077715
0.010000,-4.178219,-14.034754,-4.183673,-16.077221,-31.586762,-2.204624,-0.080832
0.010000,-4.341596,-14.04825,-4.347606,-16.393333,-31.611248,-2.448566,-0.08401
0.010000,-4.508081,-14.062541,-4.514703,-16.709716,-31.638264,-2.701603,-0.087249
0.010000,-4.677673,-14.077657,-4.684967,-17.026395,-31.667968,-2.970387,-0.090547
0.010000,-4.850369,-14.09363,-4.858401,-17.3434,-31.700484,-3.25164,-0.093905
0.010000,-5.02617,-14.11049,-5.035009,-17.660759,-31.735889,-3.540461,-0.097323
0.010000,-5.205074,-14.128271,-5.214794,-17.978503,-31.774357,-3.846827,-0.1008
0.010000,-5.387079,-14.147005,-5.39776,-18.296663,-31.816003,-4.16458,-0.104336
0.010000,-5.572184,-14.166725,-5.583913,-18.615272,-31.860932,-4.492889,-0.107931
0.010000,-5.760389,-14.187465,-5.773257,-18.934365,-31.909294,-4.836187,-0.111584
0.010000,-5.951691,-14.20926,-5.965797,-19.253977,-31.961196,-5.190237,-0.115296
0.010000,-6.14609,-14.232145,-6.161538,-19.574145,-32.016768,-5.55722,-0.119064
0.010000,-6.343585,-14.256154,-6.360487,-19.894906,-32.076171,-5.94033,-0.12289
0.010000,-6.544175,-14.281325,-6.56265,-20.216301,-32.139462,-6.329039,-0.126773
0.010000,-6.747859,-14.307694,-6.768034,-20.538369,-32.206824,-6.736252,-0.130712
0.010000,-6.954636,-14.335298,-6.976645,-20.861153,-32.278351,-7.15268,-0.134706
0.010000,-7.164506,-14.364174,-7.188492,-21.184694,-32.354161,-7.581039,-0.138756
0.010000,-7.377467,-14.39436,-7.403583,-21.509038,-32.434389,-8.022723,-0.14286
0.010000,-7.59352,-14.425896,-7.621925,-21.834229,-32.519121,-8.473234,-0.147018
0.010000,-7.812664,-14.45882,-7.843528,-22.160314,-32.608508,-8.938673,-0.15123
0.010000,-8.034898,-14.493172,-8.068402,-22.487341,-32.702611,-9.410336,-0.155494
0.010000,-8.260222,-14.528993,-8.296555,-22.815356,-32.801574,-9.896256,-0.15981
0.010000,-8.488636,-14.566321,-8.527999,-23.144411,-32.905456,-10.3882,-0.164177
0.010000,-8.72014,-14.6052,-8.762745,-23.474555,-33.014406,-10.895049,-0.168594
0.010000,-8.954733,-14.64567,-9.000803,-23.805839,-33.128451,-11.4045,-0.173062
0.010000,-9.192416,-14.687773,-9.242186,-24.138317,-33.247716,-11.926454,-0.177577
0.010000,-9.433189,-14.731551,-9.486907,-24.472039,-33.372277,-12.456115,-0.182141
0.010000,-9.677051,-14.777048,-9.734977,-24.807061,-33.502163,-12.98865,-0.186751
0.010000,-9.924004,-14.824307,-9.986412,-25.143436,-33.637493,-13.532925,-0.191408
0.010000,-10.174048,-14.873371,-10.241224,-25.481219,-33.778286,-14.079336,-0.196109
0.010000,-10.427184,-14.924284,-10.499428,-25.820465,-33.924591,-14.630549,-0.200854
0.010000,-10.683411,-14.977092,-10.761041,-26.161229,-34.076466,-15.187424,-0.205642
0.010000,-10.942731,-15.031837,-11.026076,-26.503569,-34.233922,-15.745584,-0.210471
0.010000,-11.205144,-15.088567,-11.294552,-26.847538,-34.396991,-16.306953,-0.215341
0.010000,-11.470652,-15.147326,-11.566484,-27.193195,-34.565675,-16.868428,-0.22025
0.010000,-11.739255,-15.20816,-11.84189,-27.540595,-34.739997,-17.43217,-0.225196
0.010000,-12.010955,-15.271115,-12.120788,-27.889794,-34.919912,-17.991499,-0.23018
0.010000,-12.285752,-15.336238,-12.403196,-28.240849,-35.105431,-18.55192,-0.235199
0.010000,-12.563648,-15.403574,-12.689134,-28.593814,-35.296522,-19.109085,-0.240251
0.010000,-12.844645,-15.473172,-12.978622,-28.948745,-35.49312,-19.659839,-0.245337
0.010000,-13.128743,-15.545079,-13.271679,-29.305697,-35.695207,-20.208641,-0.250453
