dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000214,13.86616,-0.001,-0.2,-20.0,-2000.0,-1.5e-05
0.010000,-0.002345,13.866161,-0.003131,-0.213065,-1.306536,1869.346449,-6.283143
0.010000,-0.00874,13.866161,-0.009526,-0.639547,-42.64818,-4134.164466,-6.283027
0.010000,-0.018333,13.866164,-0.019119,-0.959248,-31.970069,1067.811132,-6.282854
0.010000,-0.031121,13.866169,-0.031907,-1.278862,-31.961392,0.867691,-6.282622
0.010000,-0.047105,13.866181,-0.047891,-1.598359,-31.949717,1.167538,-6.282332
0.010000,-0.066282,13.8662,-0.067068,-1.91771,-31.935072,1.464492,-6.281984
0.010000,-0.088651,13.866232,-0.089437,-2.236886,-31.91767,1.740119,-6.281578
0.010000,-0.114209,13.866279,-0.114995,-2.555858,-31.897146,2.052445,-6.281114
0.010000,-0.142955,13.866346,-0.143741,-2.874596,-31.873806,2.333995,-6.280591
0.010000,-0.174886,13.866438,-0.175672,-3.19307,-31.847377,2.642871,-6.280009
0.010000,-0.209998,13.866561,-0.210785,-3.511251,-31.818182,2.919544,-6.279368
0.010000,-0.248289,13.86672,-0.249076,-3.829109,-31.785738,3.244372,-6.278668
0.010000,-0.289754,13.866923,-0.290542,-4.146613,-31.750442,3.529649,-6.277908
0.010000,-0.334391,13.867177,-0.335179,-4.463735,-31.712221,3.822042,-6.277088
0.010000,-0.382194,13.86749,-0.382984,-4.780443,-31.670755,4.146668,-6.276209
0.010000,-0.43316,13.867869,-0.433951,-5.096706,-31.626336,4.441878,-6.275269
0.010000,-0.487283,13.868325,-0.488076,-5.412495,-31.578845,4.749092,-6.274268
0.010000,-0.544558,13.868866,-0.545353,-5.727777,-31.528256,5.058861,-6.273207
0.010000,-0.60498,13.869503,-0.605779,-6.042523,-31.474548,5.370804,-6.272083
0.010000,-0.668543,13.870246,-0.669346,-6.3567,-31.417741,5.680741,-6.270898
0.010000,-0.73524,13.871107,-0.736048,-6.670277,-31.357688,6.00527,-6.269651
0.010000,-0.805065,13.872098,-0.805881,-6.983222,-31.294476,6.321166,-6.268341
0.010000,-0.878012,13.873231,-0.878836,-7.295502,-31.228055,6.642178,-6.266967
