dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000214,-13.86616,-0.001,-0.2,-20.0,-2000.0,-1.5e-05
0.010000,-0.003521,-13.86616,-0.004735,-0.37349,-17.34896,265.104005,-6.283143
0.010000,-0.013125,-13.866159,-0.014339,-0.960453,-58.696303,-4134.734276,-6.283027
0.010000,-0.027533,-13.866156,-0.028747,-1.440751,-48.029885,1066.641804,-6.282854
0.010000,-0.046744,-13.866147,-0.047958,-1.921139,-48.038704,-0.881892,-6.282622
0.010000,-0.070761,-13.86613,-0.071975,-2.401642,-48.050319,-1.161569,-6.282332
0.010000,-0.099584,-13.866101,-0.100798,-2.88229,-48.064789,-1.446999,-6.281984
0.010000,-0.133215,-13.866053,-0.134429,-3.363114,-48.082452,-1.766255,-6.281578
0.010000,-0.171656,-13.865983,-0.17287,-3.844142,-48.102776,-2.032467,-6.281114
0.010000,-0.21491,-13.865882,-0.216124,-4.325404,-48.126251,-2.347406,-6.280591
0.010000,-0.262979,-13.865743,-0.264194,-4.806929,-48.152491,-2.624043,-6.280009
0.010000,-0.315866,-13.865558,-0.317081,-5.288749,-48.182014,-2.952291,-6.279368
0.010000,-0.373575,-13.865318,-0.37479,-5.770891,-48.214129,-3.2115,-6.278668
0.010000,-0.436108,-13.865011,-0.437324,-6.253385,-48.249469,-3.53405,-6.277908
0.010000,-0.503469,-13.864628,-0.504686,-6.736265,-48.28797,-3.850043,-6.277088
0.010000,-0.575663,-13.864156,-0.576882,-7.219557,-48.329188,-4.121818,-6.276209
0.010000,-0.652694,-13.863583,-0.653915,-7.703293,-48.373615,-4.442678,-6.275269
0.010000,-0.734566,-13.862894,-0.73579,-8.187504,-48.421119,-4.750451,-6.274268
0.010000,-0.821285,-13.862074,-0.822512,-8.672221,-48.471716,-5.059658,-6.273207
0.010000,-0.912854,-13.861109,-0.914087,-9.157476,-48.525427,-5.371135,-6.272083
0.010000,-1.009281,-13.859982,-1.01052,-9.643299,-48.582342,-5.691483,-6.270898
0.010000,-1.110569,-13.858674,-1.111817,-10.129722,-48.6423,-5.99576,-6.269651
0.010000,-1.216727,-13.857167,-1.217985,-10.616777,-48.705494,-6.319393,-6.268341
0.010000,-1.327758,-13.855443,-1.32903,-11.104496,-48.771911,-6.641756,-6.266967
0.010000,-1.443671,-13.85348,-1.444959,-11.592912,-48.841568,-6.965667,-6.26553
0.010000,-1.564471,-13.851256,-1.56578,-12.082057,-48.91449,-7.292188,-6.264028
0.010000,-1.690165,-13.848749,-1.691499,-12.571964,-48.99072,-7.623044,-6.262462
0.010000,-1.820762,-13.845936,-1.822126,-13.062668,-49.070393,-7.967266,-6.26083
0.010000,-1.956267,-13.842791,-1.957668,-13.554199,-49.153143,-8.275011,-6.259132
0.010000,-2.09669,-13.839289,-2.098134,-14.046593,-49.239392,-8.624908,-6.257368
0.010000,-2.242036,-13.835403,-2.243533,-14.539887,-49.32933,-8.993834,-6.255536
0.010000,-2.392316,-13.831104,-2.393874,-15.034108,-49.422152,-9.282125,-6.253637
0.010000,-2.547537,-13.826363,-2.549167,-15.529299,-49.519058,-9.69064,-6.251668
0.010000,-2.707707,-13.82115,-2.709422,-16.025488,-49.618926,-9.986814,-6.249631
0.010000,-2.872835,-13.815433,-2.874649,-16.522714,-49.722598,-10.367197,-6.247523
0.010000,-3.04293,-13.809179,-3.044859,-17.021012,-49.829798,-10.719977,-6.245344
0.010000,-3.218001,-13.802354,-3.220063,-17.520417,-49.940542,-11.074454,-6.243094
0.010000,-3.398058,-13.794922,-3.400273,-18.020966,-50.054846,-11.43039,-6.240771
0.010000,-3.583108,-13.786846,-3.5855,-18.522693,-50.172721,-11.78751,-6.238375
0.010000,-3.773163,-13.778089,-3.775756,-19.025638,-50.294486,-12.176431,-6.235904
0.010000,-3.968231,-13.76861,-3.971054,-19.529833,-50.419546,-12.50607,-6.233358
0.010000,-4.168323,-13.758369,-4.171408,-20.035319,-50.548543,-12.899696,-6.230737
0.010000,-4.373447,-13.747323,-4.376829,-20.54213,-50.681152,-13.260893,-6.228038
0.010000,-4.583613,-13.735429,-4.587332,-21.050304,-50.817366,-13.621365,-6.225261
0.010000,-4.798833,-13.72264,-4.802931,-21.559878,-50.957422,-14.005601,-6.222405
0.010000,-5.019114,-13.708911,-5.02364,-22.070888,-51.101029,-14.360671,-6.219469
0.010000,-5.244468,-13.694192,-5.249473,-22.583373,-51.248449,-14.742076,-6.216453
0.010000,-5.474903,-13.678433,-5.480447,-23.097367,-51.399417,-15.096775,-6.213353
0.010000,-5.71043,-13.661582,-5.716576,-23.61291,-51.554269,-15.485162,-6.210171
0.010000,-5.951059,-13.643587,-5.957876,-24.130035,-51.712499,-15.823038,-6.206904
0.010000,-6.196798,-13.624391,-6.204364,-24.648779,-51.874465,-16.196569,-6.203551
0.010000,-6.447657,-13.603938,-6.456056,-25.169181,-52.040154,-16.568874,-6.200112
0.010000,-6.703646,-13.582168,-6.712969,-25.691272,-52.209081,-16.892771,-6.196584
0.010000,-6.964773,-13.559022,-6.97512,-26.215089,-52.381744,-17.266304,-6.192967
0.010000,-7.231047,-13.534437,-7.242526,-26.740665,-52.557599,-17.585418,-6.18926
0.010000,-7.502476,-13.508348,-7.515207,-27.268035,-52.736974,-17.937499,-6.185461
0.010000,-7.779069,-13.480689,-7.793179,-27.797229,-52.919431,-18.245777,-6.181569
0.010000,-8.060833,-13.451391,-8.076462,-28.328281,-53.105165,-18.573339,-6.177582
0.010000,-8.347775,-13.420383,-8.365074,-28.861219,-53.293763,-18.85987,-6.173499
0.010000,-8.639901,-13.387594,-8.659035,-29.396073,-53.485457,-19.169408,-6.169319
0.010000,-8.937218,-13.352949,-8.958363,-29.932869,-53.679622,-19.416459,-6.16504
0.010000,-9.239731,-13.31637,-9.26308,-30.471636,-53.876644,-19.702229,-6.160661
0.010000,-9.547444,-13.277779,-9.573204,-31.012394,-54.075772,-19.912768,-6.156181
0.010000,-9.860362,-13.237093,-9.888755,-31.555167,-54.277303,-20.153077,-6.151598
0.010000,-10.178487,-13.194231,-10.209755,-32.099972,-54.480561,-20.32578,-6.14691
0.010000,-10.501822,-13.149104,-10.536223,-32.646829,-54.68567,-20.510912,-6.142117
0.010000,-10.830366,-13.101626,-10.868181,-33.195749,-54.892064,-20.639475,-6.137216
0.010000,-11.164121,-13.051705,-11.205648,-33.746747,-55.099723,-20.765835,-6.132206
0.010000,-11.503084,-12.999249,-11.548647,-34.299826,-55.307954,-20.823141,-6.127085
0.010000,-11.847253,-12.944161,-11.897196,-34.854993,-55.516663,-20.870838,-6.121853
0.010000,-12.196624,-12.886344,-12.251319,-35.412247,-55.725373,-20.871019,-6.116508
