dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000173,13.86616,-0.001,-0.2,-20.0,-2000.0,-6.283173
0.010000,-0.004018,13.86616,-0.005191,-0.419102,-21.910173,-191.017305,-5.5e-05
0.010000,-0.013884,13.866159,-0.015057,-0.986556,-56.745451,-3483.527747,-0.000189
0.010000,-0.028683,13.866155,-0.029856,-1.479915,-49.33586,740.959043,-0.000391
0.010000,-0.048417,13.866144,-0.049589,-1.973371,-49.345637,-0.977648,-0.00066
0.010000,-0.073086,13.866124,-0.074259,-2.466957,-49.358543,-1.290668,-0.000997
0.010000,-0.102693,13.866089,-0.103866,-2.960706,-49.374902,-1.635896,-0.001402
0.010000,-0.13724,13.866032,-0.138413,-3.454648,-49.394254,-1.935176,-0.001874
0.010000,-0.176728,13.865947,-0.177901,-3.948819,-49.417089,-2.283498,-0.002414
0.010000,-0.22116,13.865827,-0.222333,-4.443248,-49.44294,-2.58509,-0.003022
0.010000,-0.270539,13.865661,-0.271713,-4.937972,-49.472333,-2.939362,-0.003698
0.010000,-0.324869,13.865439,-0.326043,-5.43302,-49.504852,-3.251893,-0.004443
0.010000,-0.384153,13.865152,-0.385327,-5.928426,-49.540545,-3.569284,-0.005257
0.010000,-0.448394,13.864786,-0.44957,-6.424223,-49.579763,-3.921826,-0.00614
0.010000,-0.517597,13.864328,-0.518774,-6.920445,-49.622157,-4.239322,-0.007092
0.010000,-0.591766,13.863764,-0.592945,-7.417122,-49.667721,-4.556415,-0.008114
0.010000,-0.670906,13.863079,-0.672088,-7.914291,-49.716846,-4.912503,-0.009206
0.010000,-0.755022,13.862255,-0.756208,-8.411982,-49.769157,-5.231075,-0.010369
0.010000,-0.844119,13.861277,-0.84531,-8.910229,-49.82467,-5.551328,-0.011602
0.010000,-0.938202,13.860124,-0.939401,-9.409066,-49.883753,-5.908278,-0.012907
0.010000,-1.037278,13.858777,-1.038486,-9.908527,-49.946016,-6.226289,-0.014283
0.010000,-1.141353,13.857215,-1.142573,-10.408643,-50.011627,-6.561149,-0.015732
0.010000,-1.250433,13.855415,-1.251667,-10.909449,-50.080627,-6.899964,-0.017253
0.010000,-1.364524,13.853356,-1.365777,-11.410979,-50.152951,-7.232469,-0.018848
0.010000,-1.483633,13.851011,-1.48491,-11.913265,-50.228677,-7.572606,-0.020516
0.010000,-1.607768,13.848356,-1.609073,-12.416343,-50.307739,-7.906102,-0.022259
0.010000,-1.736936,13.845363,-1.738275,-12.920244,-50.390093,-8.235486,-0.024076
0.010000,-1.871144,13.842004,-1.872526,-13.425003,-50.47589,-8.579629,-0.025969
0.010000,-2.0104,13.83825,-2.011832,-13.930653,-50.564999,-8.91094,-0.027939
0.010000,-2.154712,13.834069,-2.156204,-14.437228,-50.657495,-9.249621,-0.029985
0.010000,-2.304087,13.82943,-2.305652,-14.94476,-50.753226,-9.573074,-0.032108
