dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000173,-13.86616,-0.001,-0.2,-20.0,-2000.0,-6.283173
0.010000,-0.002499,-13.866161,-0.003326,-0.232578,-3.257797,1674.220257,-5.5e-05
0.010000,-0.008633,-13.866161,-0.00946,-0.613444,-38.086635,-3482.883718,-0.000189
0.010000,-0.017834,-13.866164,-0.018661,-0.920085,-30.664076,742.255866,-0.000391
0.010000,-0.0301,-13.86617,-0.030927,-1.226629,-30.654378,0.969773,-0.00066
0.010000,-0.045431,-13.866183,-0.046258,-1.533042,-30.641362,1.301579,-0.000997
0.010000,-0.063824,-13.866205,-0.064651,-1.839295,-30.625224,1.613837,-0.001402
0.010000,-0.085277,-13.86624,-0.086104,-2.145351,-30.605672,1.955223,-0.001874
0.010000,-0.109789,-13.866293,-0.110616,-2.451181,-30.583004,2.266824,-0.002414
0.010000,-0.137356,-13.866368,-0.138184,-2.756751,-30.556921,2.60822,-0.003022
0.010000,-0.167976,-13.866471,-0.168804,-3.062028,-30.527743,2.917788,-0.003698
0.010000,-0.201646,-13.866608,-0.202474,-3.36698,-30.495201,3.254216,-0.004443
0.010000,-0.238361,-13.866786,-0.239189,-3.671573,-30.459315,3.58863,-0.005257
0.010000,-0.278118,-13.867012,-0.278947,-3.975776,-30.420291,3.902355,-0.00614
0.010000,-0.320913,-13.867295,-0.321743,-4.279555,-30.377902,4.23893,-0.007092
0.010000,-0.36674,-13.867644,-0.367571,-4.582877,-30.332133,4.576892,-0.008114
0.010000,-0.415596,-13.868067,-0.416429,-4.885709,-30.283214,4.891938,-0.009206
0.010000,-0.467473,-13.868575,-0.468309,-5.188018,-30.2309,5.231369,-0.010369
0.010000,-0.522368,-13.869178,-0.523206,-5.48977,-30.175191,5.570897,-0.011602
0.010000,-0.580273,-13.869887,-0.581116,-5.790933,-30.116302,5.888943,-0.012907
0.010000,-0.641182,-13.870716,-0.64203,-6.091472,-30.053981,6.232068,-0.014283
0.010000,-0.705088,-13.871675,-0.705944,-6.391356,-29.988323,6.565789,-0.015732
0.010000,-0.771985,-13.872778,-0.77285,-6.690549,-29.919344,6.89797,-0.017253
0.010000,-0.841863,-13.87404,-0.84274,-6.989019,-29.846996,7.234775,-0.018848
0.010000,-0.914717,-13.875474,-0.915607,-7.286732,-29.771321,7.567481,-0.020516
0.010000,-0.990536,-13.877095,-0.991444,-7.583655,-29.692275,7.904638,-0.022259
0.010000,-1.069312,-13.878921,-1.070241,-7.879753,-29.60983,8.244435,-0.024076
0.010000,-1.151036,-13.880966,-1.151991,-8.174994,-29.524079,8.575092,-0.025969
0.010000,-1.235699,-13.883248,-1.236684,-8.469344,-29.434948,8.91314,-0.027939
0.010000,-1.32329,-13.885786,-1.324312,-8.762768,-29.342489,9.245898,-0.029985
